,time,product url,product name,model no,selling price,discount%,seller,seller raitng,product rating,currency,position,brand,market,,most expensive:,most expensive item:
857,02:49.6,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
858,02:51.3,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
859,02:52.2,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
860,02:55.8,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
861,02:57.0,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
862,02:58.3,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
863,02:58.9,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
864,03:03.5,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
865,03:05.2,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
866,03:06.4,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
867,03:10.5,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
868,03:12.3,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
869,03:13.5,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
870,03:14.7,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
871,03:15.3,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
872,03:34.5,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
873,03:37.0,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
874,03:39.9,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
875,03:43.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
876,03:51.5,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
877,03:52.2,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
878,03:54.5,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
879,03:55.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
880,03:57.4,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
881,03:58.5,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
882,04:07.2,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
883,04:07.9,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
884,04:08.8,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
885,04:09.6,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
886,04:11.8,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
887,04:14.4,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
888,04:17.4,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
889,04:32.7,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
890,04:33.7,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
891,04:34.8,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
892,04:36.7,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
893,04:37.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
894,04:44.3,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
895,04:47.8,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
896,04:49.8,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
897,04:53.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
898,05:01.2,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
899,05:01.8,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
900,05:04.0,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
901,05:05.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
902,05:09.1,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
903,05:10.3,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
904,05:12.9,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
905,05:14.4,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
906,05:15.2,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
907,05:16.6,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
908,05:18.6,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
909,05:21.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
910,05:23.8,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
911,05:28.8,https://www.noon.com/egypt-en/18d-141-yoga-roller-multi-color-30cm/N46040265A/p/?o=a24c899da00f436f,18D-141 Yoga Roller Multi Color 30cm,Model Number : 2025518283,215,13,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
912,05:30.3,https://www.noon.com/egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f,Full Round Foam Roller 15x45centimeter,Model Number : BB-021-45cm,519.85,22,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
913,05:30.8,https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=a49569a510c8250e,Red Floor Sand Bag 180cm,Model Number : 25045,2249,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
914,05:32.2,https://www.noon.com/egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1,Athlete Home 5mm Mat With Bag,Model Number : 6555,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
915,05:33.4,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1,Exercise Mat 5Mm Eva,Model Number : 31512,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
916,05:41.8,https://www.noon.com/egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1,Athlete Home Foam Roller multi Color,Model Number : 6034,199,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
917,05:46.2,https://www.noon.com/egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c,Non Slip Yoga Mat With Carrying Bag,Model Number : 1004591,166,19,Bekstore,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Generic,noon-marketplace,,,
918,05:51.6,https://www.noon.com/egypt-en/leather-gym-sand-bag-120cm/N52997041A/p/?o=a5bbac76bcbe721f,Leather Gym Sand Bag 120cm,Model Number : 22797,599,20,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaBlocks, Bolsters, and CushionsSandbags",Athlete Home,noon-express,,,
919,05:54.7,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1,Exercise Mat 5Mm Eva,Model Number : 31506,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
920,06:08.9,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1,Exercise Mat 5Mm Eva,Model Number : 31505,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
921,06:10.0,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1,Exercise Mat 5Mm Eva,Model Number : 31516,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
922,06:13.0,https://www.noon.com/egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,Model Number : Y14484,250,13,Vision Technology,4.7,4.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaYoga Belts",LIXADA,noon-marketplace,,,
923,06:18.6,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/Z7A2D36755772059676BEZ/p/?o=z7a2d36755772059676bez-1,Exercise Mat 5Mm Eva,Model Number : 31508,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
924,06:22.4,https://www.noon.com/egypt-en/yoga-mat-6-5-mm/N52252467A/p/?o=cc1f3bc4a124b6ac,Yoga Mat 6.5 Mm,Model Number : BB-8311,255,8,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
925,06:23.5,https://www.noon.com/egypt-en/18d-141-yoga-roller-blue-30cm/N46040261A/p/?o=c65abb8dd159c71b,18D-141 Yoga Roller Blue 30cm,Model Number : 2025518276,189,29,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaRollers",Spurt,noon-express,,,
926,06:25.9,https://www.noon.com/egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1,Power Pull High End Mat,Model Number : 6849,375,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
927,06:27.0,https://www.noon.com/egypt-en/athlete-home-yoga-foam-roller-45cm/ZB12BDB8FACF6B17C4801Z/p/?o=zb12bdb8facf6b17c4801z-1,Athlete Home Yoga Foam Roller 45cm,Model Number : 5410,225,25,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",Athlete Home,noon-express,,,
928,06:28.1,https://www.noon.com/egypt-en/swiss-ball-76cm/N52252584A/p/?o=d3765f41c82ec5ed,Swiss Ball 76cm,Model Number : BB-001TABL-30,509,37,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaSwiss Balls",BODY SCULPTURE,noon-express,,,
929,06:29.1,https://www.noon.com/egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf,Cork Yoga Mat,Model Number : QB-8380,792.05,24,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
930,06:32.5,https://www.noon.com/egypt-en/travel-size-foam-roller-30x10cm/N52252209A/p/?o=d41bc412e8b599ee,Travel Size Foam Roller 30x10cm,Model Number : QB-018-30,309.6,15,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaFoam Rollers",BODY SCULPTURE,noon-express,,,
931,06:34.3,https://www.noon.com/egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1,Exercise Mat 5Mm Eva,Model Number : 31509,199,33,Athlete Home,3.7,3.7,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",Athlete Home,noon-express,,,
932,06:36.2,https://www.noon.com/egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee,Yoga Mat 17mm,Model Number : BB-8330,759,17,noon,4.3,4.3,EGP,"Sports, Fitness & OutdoorsExercise & FitnessYogaMats, Blankets, and TowelsMats",BODY SCULPTURE,noon-express,,,
